year,month,bulan,padang,bukittinggi,indonesia
2010,Januari,1/1/2010,1.59,-,0.84
2010,Februari,2/1/2010,0.17,-,-0.08
2010,Maret,3/1/2010,-0.73,-,-0.14
2010,April,4/1/2010,0.27,-,0.15
2010,Mei,5/1/2010,0.54,-,0.29
2010,Juni,6/1/2010,1.58,-,0.97
2010,Juli,7/1/2010,1.49,-,1.57
2010,Agustus,8/1/2010,-0.37,-,0.76
2010,September,9/1/2010,-0.37,-,0.44
2010,Oktober,10/1/2010,0.06,-,0.06
2010,November,11/1/2010,1.38,-,0.6
2010,Desember,12/1/2010,2,-,0.92
2011,Januari,1/1/2011,3.7,-,0.89
2011,Februari,2/1/2011,0.44,-,0.13
2011,Maret,3/1/2011,-2.59,-,-0.32
2011,April,4/1/2011,-1.07,-,-0.31
2011,Mei,5/1/2011,0.08,-,0.12
2011,Juni,6/1/2011,0.11,-,0.55
2011,Juli,7/1/2011,0.77,-,0.67
2011,Agustus,8/1/2011,1.13,-,0.93
2011,September,9/1/2011,1.24,-,0.27
2011,Oktober,10/1/2011,0.63,-,-0.12
2011,November,11/1/2011,0.46,-,0.34
2011,Desember,12/1/2011,0.48,-,0.57
2012,Januari,1/1/2012,0.56,-,0.76
2012,Februari,2/1/2012,-0.9,-,0.05
2012,Maret,3/1/2012,0.43,-,0.07
2012,April,4/1/2012,0.46,-,0.21
2012,Mei,5/1/2012,-0.43,-,0.07
2012,Juni,6/1/2012,1.22,-,0.62
2012,Juli,7/1/2012,0.13,-,0.7
2012,Agustus,8/1/2012,1.08,-,0.95
2012,September,9/1/2012,0.54,-,0.01
2012,Oktober,10/1/2012,0.71,-,0.16
2012,November,11/1/2012,-0.63,-,0.07
2012,Desember,12/1/2012,0.94,-,0.54
2013,Januari,1/1/2013,1.34,-,1.03
2013,Februari,2/1/2013,0.63,-,0.75
2013,Maret,3/1/2013,0.34,-,0.63
2013,April,4/1/2013,0.56,-,-0.1
2013,Mei,5/1/2013,0.64,-,-0.03
2013,Juni,6/1/2013,1.4,-,1.03
2013,Juli,7/1/2013,2.75,-,3.29
2013,Agustus,8/1/2013,0.91,-,1.12
2013,September,9/1/2013,0.05,-,-0.35
2013,Oktober,10/1/2013,0.68,-,0.09
2013,November,11/1/2013,0.39,-,0.12
2013,Desember,12/1/2013,0.7,-,0.55
2014,Januari,1/1/2014,1.89,1.95,1.07
2014,Februari,2/1/2014,-0.64,-0.26,0.26
2014,Maret,3/1/2014,-0.39,-0.2,0.08
2014,April,4/1/2014,-0.09,-0.25,-0.02
2014,Mei,5/1/2014,0.05,0.47,0.16
2014,Juni,6/1/2014,0.31,0.09,0.43
2014,Juli,7/1/2014,0.81,0.87,0.93
2014,Agustus,8/1/2014,1.83,0.91,0.47
2014,September,9/1/2014,0.33,0.95,0.27
2014,Oktober,10/1/2014,1.18,0.49,0.47
2014,November,11/1/2014,3.44,2.03,1.5
2014,Desember,12/1/2014,2.66,1.84,2.46
2015,Januari,1/1/2015,-1.98,-0.39,-0.24
2015,Februari,2/1/2015,-2.07,-2.35,-0.36
2015,Maret,3/1/2015,0.01,-0.17,0.17
2015,April,4/1/2015,0.56,0.77,0.36
2015,Mei,5/1/2015,0.65,0.82,0.5
2015,Juni,6/1/2015,0.83,0.45,0.54
2015,Juli,7/1/2015,1.21,1.66,0.93
2015,Agustus,8/1/2015,0.38,0.55,0.39
2015,September,9/1/2015,-0.49,-0.73,-0.05
2015,Oktober,10/1/2015,-0.44,-0.4,-0.08
2015,November,11/1/2015,0.47,0.83,0.21
2015,Desember,12/1/2015,1.79,1.8,0.96
2016,Januari,1/1/2016,0.02,0.3,0.51
2016,Februari,2/1/2016,0.86,-0.21,-0.09
2016,Maret,3/1/2016,0.55,1.18,0.19
2016,April,4/1/2016,-0.92,-1.59,-0.45
2016,Mei,5/1/2016,-0.37,-0.34,0.24
2016,Juni,6/1/2016,0.1,0.73,0.66
2016,Juli,7/1/2016,1.52,1.46,0.69
2016,Agustus,8/1/2016,0.84,0.4,-0.02
2016,September,9/1/2016,0.58,1.11,0.22
2016,Oktober,10/1/2016,0.56,0.37,0.14
2016,November,11/1/2016,1.13,1.07,0.47
2016,Desember,12/1/2016,0.07,-0.57,0.42
2017,Januari,1/1/2017,0.57,0.22,0.97
2017,Februari,2/1/2017,-0.13,-0.45,0.23
2017,Maret,3/1/2017,-0.01,0.25,-0.02
2017,April,4/1/2017,-0.31,-0.18,0.09
2017,Mei,5/1/2017,-0.04,-0.44,0.39
2017,Juni,6/1/2017,0.34,0.2,0.69
2017,Juli,7/1/2017,0.54,0.09,0.22
2017,Agustus,8/1/2017,-0.36,0.28,-0.07
2017,September,9/1/2017,0.13,0.31,0.13
2017,Oktober,10/1/2017,0.19,0.41,0.01
2017,November,11/1/2017,0.48,0.32,0.2
2017,Desember,12/1/2017,0.72,0.37,0.71
2018,Januari,1/1/2018,0.43,0.75,0.62
2018,Februari,2/1/2018,-0.09,-0.22,0.17
2018,Maret,3/1/2018,0.31,0.28,0.2
2018,April,4/1/2018,0.01,0.12,0.1
2018,Mei,5/1/2018,0.46,-0.39,0.21
2018,Juni,6/1/2018,0.39,0.2,0.59
2018,Juli,7/1/2018,0.62,0.09,0.28
2018,Agustus,8/1/2018,-0.4,-0.13,-0.05
2018,September,9/1/2018,-0.35,0.1,-0.18
2018,Oktober,10/1/2018,0.8,0.92,0.28
2018,November,11/1/2018,0.19,0.83,0.27
2018,Desember,12/1/2018,0.16,0.41,0.62
2019,Januari,1/1/2019,0.24,-0.39,0.32
2019,Februari,2/1/2019,-0.44,-0.49,-0.08
2019,Maret,3/1/2019,0.33,0.11,0.11
2019,April,4/1/2019,0.44,0.51,0.44
2019,Mei,5/1/2019,0.86,0.78,0.68
2019,Juni,6/1/2019,1.07,1.28,0.55
2019,Juli,7/1/2019,0.89,0.46,0.31
2019,Agustus,8/1/2019,-0.1,0.24,0.12
2019,September,9/1/2019,-0.95,-1.1,-0.27
2019,Oktober,10/1/2019,-0.34,0.02,0.02
2019,November,11/1/2019,-0.34,-0.1,0.14
2019,Desember,12/1/2019,0.07,-0.01,0.34
